current_x_A,current_y_A,current_z_A,coil_field_x_mG,coil_field_y_mG,coil_field_z_mG,coil_field_norm_mG,mot_gradient_field_x_mG,mot_gradient_field_y_mG,mot_gradient_field_z_mG,mot_gradient_field_norm_mG,switch_off_field_x_mG,switch_off_field_y_mG,switch_off_field_z_mG,final_temperature_uK,cooling_efficiency,mean_field_mG,initial_field_mG,final_field_mG,mean_relative_efficiency
0.5833333333333333,-0.9166666666666666,-1.0,172.8626119395884,-271.6801587855051,-296.3359061821516,437.6146256434889,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,98.53294834318129,0.5124598568526197,476.3070129768577,2115.868161580953,345.999713004692,0.2461065354074415
0.6666666666666665,-0.9166666666666666,-1.0,197.557270788101,-271.6801587855051,-296.3359061821516,447.94414072711936,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,103.24021739453619,0.48868577073466574,489.1475715529059,2118.028675402349,358.9751997478316,0.22945086570698273
0.75,-0.9166666666666666,-1.0,222.25192963661368,-271.6801587855051,-296.3359061821516,459.37021910188355,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,108.03659765449748,0.46446162800758845,503.00577037946266,2120.4745965968523,373.1356844633743,0.21324920120540275
0.8333333333333333,-0.9166666666666666,-1.0,246.94658848512628,-271.6801587855051,-296.3359061821516,471.8131998312007,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,112.82789272588924,0.4402631680510644,517.7555746524558,2123.204938801205,388.35156283604016,0.1977812821217267
0.9166666666666665,-0.9166666666666666,-1.0,271.6412473336389,-271.6801587855051,-296.3359061821516,485.1948528410925,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,117.53951562892647,0.41646709278319965,533.2879496948739,2126.218606314591,404.5037528203264,0.18321752263053684
1.0,-0.9166666666666666,-1.0,296.3359061821516,-271.6801587855051,-296.3359061821516,499.43973336460846,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,122.11503586037236,0.39335840474559414,549.5090861973031,2129.5143962599036,421.4846237830622,0.1696449010792666
-1.0,-0.8333333333333334,-1.0,-296.3359061821516,-246.9819625322774,-296.3359061821516,486.4463263319903,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,122.79984643114874,0.3898997654992488,555.1493598956857,2147.1646282551533,418.22591905349356,0.16752924884679815
-0.9166666666666666,-0.8333333333333334,-1.0,-271.64124733363894,-246.9819625322774,-296.3359061821516,471.8093114406152,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,118.31223093121056,0.4125644902464113,539.066573978704,2143.895972007567,401.1071145321628,0.18073687584750003
-0.8333333333333334,-0.8333333333333334,-1.0,-246.9465884851263,-246.9819625322774,-296.3359061821516,458.0367634519467,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,113.7003379244235,0.4358568791695783,523.6813333144362,2140.9071883437023,384.81237979018385,0.19486438698910544
-0.75,-0.8333333333333334,-1.0,-222.25192963661368,-246.9819625322774,-296.3359061821516,445.20891650582485,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,109.02123544595798,0.45948870986889906,509.0880684036923,2138.199450884901,369.4507684422116,0.2098145831138106
-0.6666666666666667,-0.8333333333333334,-1.0,-197.55727078810108,-246.9819625322774,-296.3359061821516,433.4096611179028,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,104.34945228350453,0.4830835743257347,495.3961112227353,2135.773828563909,355.1433869813508,0.22540926768636627
-0.5833333333333334,-0.8333333333333334,-1.0,-172.86261193958842,-246.9819625322774,-296.3359061821516,422.7251373122599,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,99.77810034198396,0.5061712103940205,482.73111300393333,2133.631283550152,342.02256165627307,0.2413666578667519
-0.5,-0.8333333333333334,-1.0,-148.1679530910758,-246.9819625322774,-296.3359061821516,413.2418195588286,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,95.41821181084795,0.5281908494401618,471.23571483319506,2131.772669367091,330.2297569852566,0.25728150388372867
-0.41666666666666674,-0.8333333333333334,-1.0,-123.47329424256318,-246.9819625322774,-296.3359061821516,405.0440883412605,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,91.39576787409298,0.5485062228581162,461.0687306608577,2130.198729210119,319.9118698430131,0.2726148707931191
-0.33333333333333337,-0.8333333333333334,-1.0,-98.77863539405054,-246.9819625322774,-296.3359061821516,398.2113483056491,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,87.84617765723257,0.5664334461755931,452.4017475123716,2128.9100944726633,311.2156308504654,0.2867032264002145
-0.25,-0.8333333333333334,-1.0,-74.0839765455379,-246.9819625322774,-296.3359061821516,392.81483511941354,-8.949577239940914e-13,87.4664794962657,262.42199660505764,276.61469472473,0.0,1500.0,1500.0,84.90563759809775,0.5812846585954659,445.4117465513187,2127.9072834872513,304.28011051684297,0.29879706472677664
