fixed_T_ms,fixed_T2_ms2,phase_rad,upper_probability,lower_probability
10.0,100.0,2.213210350584307,43.504532617548804,55.5322580144529
10.0,100.0,2.2236994991652757,43.455460173512535,55.42505046030409
10.0,100.0,2.234188647746244,43.40535622982349,55.31664091867435
10.0,100.0,2.244677796327212,43.35422629897916,55.207041316914754
10.0,100.0,2.25516694490818,43.3020760063574,55.09626371330823
10.0,100.0,2.2656560934891488,43.248911089597485,54.98432029574283
10.0,100.0,2.276145242070117,43.19473739796891,54.871223380371006
10.0,100.0,2.286634390651085,43.13956089172785,54.75698541025443
10.0,100.0,2.2971235392320533,43.0833876414613,54.64161895399492
10.0,100.0,2.307612687813022,43.02622382741933,54.52513670435185
10.0,100.0,2.31810183639399,42.96807573883504,54.407551476845555
10.0,100.0,2.328590984974958,42.90894977323258,54.288876208347205
10.0,100.0,2.3390801335559264,42.8488524357234,54.16912395565581
10.0,100.0,2.349569282136895,42.7877903382904,54.04830789406133
10.0,100.0,2.360058430717863,42.72577019906063,53.92644131589541
10.0,100.0,2.3705475792988313,42.66279884156606,53.80353762906882
10.0,100.0,2.3810367278798,42.5988831939928,53.67961035559618
10.0,100.0,2.391525876460768,42.53403028841898,53.5546731301085
10.0,100.0,2.4020150250417363,42.468247260041025,53.42873969835292
10.0,100.0,2.4125041736227044,42.401541346388534,53.30182391568034
10.0,100.0,2.422993322203673,42.333919886528136,53.17393974552121
10.0,100.0,2.433482470784641,42.26539032025599,53.045101257849176
10.0,100.0,2.4439716193656094,42.19596018727917,52.91532262763293
10.0,100.0,2.4544607679465775,42.12563712638628,52.78461813327694
10.0,100.0,2.464949916527546,42.05442887460694,52.65300215505039
10.0,100.0,2.4754390651085143,41.98234326636049,52.520489173504885
10.0,100.0,2.4859282136894825,41.90938823259419,52.3870937678816
10.0,100.0,2.4964173622704506,41.835571799910554,52.252830614507076
10.0,100.0,2.5069065108514192,41.76090208968419,52.11771448517839
10.0,100.0,2.5173956594323874,41.68538731716843,51.981760245538226
