fixed_T_ms,fixed_T2_ms2,phase_rad,upper_probability,lower_probability
11.5,132.25,1.2062520868113522,43.69301670739331,58.19150691284496
11.5,132.25,1.2167412353923206,43.73679042680029,58.2550217174923
11.5,132.25,1.2272303839732888,43.77950169425424,58.3170231777424
11.5,132.25,1.2377195325542572,43.82114581060901,58.37750447211838
11.5,132.25,1.2482086811352253,43.861718194127704,58.43645894639387
11.5,132.25,1.2586978297161937,43.90121438098684,58.493880114325165
11.5,132.25,1.2691869782971619,43.939630025767386,58.549761658364766
11.5,132.25,1.2796761268781303,43.97696090193288,58.60409743035653
11.5,132.25,1.2901652754590984,44.01320290229444,58.656881452212026
11.5,132.25,1.3006544240400668,44.04835203946262,58.70810791656827
11.5,132.25,1.311143572621035,44.082404446286176,58.7577711874267
11.5,132.25,1.3216327212020034,44.11535637627743,58.805865800773205
11.5,132.25,1.3321218697829715,44.14720420402453,58.85238646517929
11.5,132.25,1.34261101836394,44.177944425590354,58.89732806238432
11.5,132.25,1.3531001669449083,44.20757365889791,58.94068564785849
11.5,132.25,1.3635893155258765,44.23608864410252,58.98245445134693
11.5,132.25,1.3740784641068449,44.26348624395049,59.02262987739459
11.5,132.25,1.384567612687813,44.2897634441242,59.061207505851684
11.5,132.25,1.3950567612687814,44.31491735357376,59.098183092360095
11.5,132.25,1.4055459098497496,44.33894520483517,59.13355256882038
11.5,132.25,1.416035058430718,44.36184435433468,59.16731204383923
11.5,132.25,1.4265242070116861,44.38361228267971,59.19945780315772
11.5,132.25,1.4370133555926545,44.40424659493603,59.2299863100599
11.5,132.25,1.4475025041736227,44.423745020891246,59.258894205761905
11.5,132.25,1.457991652754591,44.44210541530457,59.28617830978152
11.5,132.25,1.4684808013355592,44.459325758142825,59.31183562028808
11.5,132.25,1.4789699499165276,44.47540415480274,59.33586331443275
11.5,132.25,1.4894590984974958,44.49033883631934,59.358258748659075
11.5,132.25,1.4999482470784642,44.50412815956061,59.37901945899387
11.5,132.25,1.5104373956594324,44.51677060740826,59.398143161318245
11.5,132.25,1.5209265442404007,44.52826478892463,59.41562775161897
11.5,132.25,1.531415692821369,44.538609439505755,59.43147130621994
11.5,132.25,1.5419048414023373,44.54780342102045,59.44567208199379
11.5,132.25,1.5523939899833055,44.55584572193556,59.45822851655371
11.5,132.25,1.5628831385642739,44.56273545742727,59.46913922842535
11.5,132.25,1.573372287145242,44.56847186947841,59.47840301719876
11.5,132.25,1.5838614357262104,44.573054326961866,59.486018863660526
11.5,132.25,1.5943505843071786,44.57648232571003,59.49198592990585
11.5,132.25,1.604839732888147,44.57875548857028,59.49630355943078
11.5,132.25,1.6153288814691151,44.579873565446434,59.49897127720439
11.5,132.25,1.6258180300500835,44.57983643332631,59.499988789721115
11.5,132.25,1.6363071786310517,44.57864409629521,59.499355985032956
11.5,132.25,1.64679632721202,44.57629668553554,59.49707293276188
11.5,132.25,1.6572854757929882,44.5727944593123,59.49313988409209
