Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
15417,229897.3960,0.0000,675907.9403,0.0000,216803.0882,0.0000,665679.1268,0.0000,0.0044,0.0000,0.0060,0.0000,0.0045,0.0000,0.0058,0.0000,2.8098,0.0000,6.0580,0.0000,3.3953,0.0000,6.9020,0.0000,1.6617,0.0000,7.8428,0.0000,2.4237,0.0000,10.1596,0.0000,0.7984,0.0000,0.8035,0.0000,0.7980,0.0000,0.8028,0.0000,25.3804,0.0000,74.6196,0.0000,24.5674,0.0000,75.4326,0.0000
15418,241834.8890,0.0000,695039.2958,0.0000,234168.4361,0.0000,681156.8653,0.0000,0.0045,0.0000,0.0061,0.0000,0.0045,0.0000,0.0059,0.0000,2.8900,0.0000,6.1273,0.0000,2.8944,0.0000,6.6237,0.0000,1.7582,0.0000,8.0231,0.0000,1.7644,0.0000,9.3639,0.0000,0.7984,0.0000,0.8035,0.0000,0.7986,0.0000,0.8031,0.0000,25.8130,0.0000,74.1870,0.0000,25.5831,0.0000,74.4169,0.0000
15419,237572.8828,0.0000,700594.7481,0.0000,232491.1833,0.0000,687295.5156,0.0000,0.0044,0.0000,0.0062,0.0000,0.0044,0.0000,0.0060,0.0000,2.9036,0.0000,6.0767,0.0000,3.1727,0.0000,6.1227,0.0000,1.7746,0.0000,7.8891,0.0000,2.1175,0.0000,8.0118,0.0000,0.7984,0.0000,0.8034,0.0000,0.7982,0.0000,0.8035,0.0000,25.3231,0.0000,74.6769,0.0000,25.2766,0.0000,74.7234,0.0000
15420,239428.0034,0.0000,687633.8403,0.0000,233159.0601,0.0000,672467.6247,0.0000,0.0045,0.0000,0.0060,0.0000,0.0046,0.0000,0.0057,0.0000,2.8612,0.0000,6.1631,0.0000,2.9500,0.0000,6.7350,0.0000,1.7233,0.0000,8.1157,0.0000,1.8318,0.0000,9.6813,0.0000,0.7984,0.0000,0.8035,0.0000,0.7984,0.0000,0.8031,0.0000,25.8265,0.0000,74.1735,0.0000,25.7456,0.0000,74.2544,0.0000
15421,230270.5786,0.0000,673794.6838,0.0000,215405.5554,0.0000,655845.8128,0.0000,0.0044,0.0000,0.0059,0.0000,0.0043,0.0000,0.0056,0.0000,2.8143,0.0000,6.1414,0.0000,3.0614,0.0000,6.2340,0.0000,1.6672,0.0000,8.0600,0.0000,1.9727,0.0000,8.3106,0.0000,0.7984,0.0000,0.8035,0.0000,0.7984,0.0000,0.8037,0.0000,25.4706,0.0000,74.5294,0.0000,24.7237,0.0000,75.2763,0.0000
15422,230492.2300,0.0000,692011.5480,0.0000,220184.8372,0.0000,673761.0972,0.0000,0.0044,0.0000,0.0061,0.0000,0.0044,0.0000,0.0058,0.0000,2.8171,0.0000,6.1006,0.0000,3.1727,0.0000,6.7907,0.0000,1.6703,0.0000,7.9527,0.0000,2.1175,0.0000,9.8364,0.0000,0.7983,0.0000,0.8035,0.0000,0.7982,0.0000,0.8029,0.0000,24.9855,0.0000,75.0145,0.0000,24.6307,0.0000,75.3693,0.0000
15423,234862.1740,0.0000,709240.4702,0.0000,228518.8609,0.0000,692722.0816,0.0000,0.0044,0.0000,0.0063,0.0000,0.0045,0.0000,0.0060,0.0000,2.8705,0.0000,6.0540,0.0000,3.0057,0.0000,6.4567,0.0000,1.7343,0.0000,7.8321,0.0000,1.9020,0.0000,8.8995,0.0000,0.7984,0.0000,0.8035,0.0000,0.7984,0.0000,0.8032,0.0000,24.8768,0.0000,75.1232,0.0000,24.8055,0.0000,75.1945,0.0000
15424,237386.8828,0.0000,680309.2810,0.0000,227701.8668,0.0000,660735.8101,0.0000,0.0045,0.0000,0.0060,0.0000,0.0045,0.0000,0.0056,0.0000,2.8368,0.0000,6.0974,0.0000,2.5048,0.0000,6.6237,0.0000,1.6940,0.0000,7.9453,0.0000,1.3234,0.0000,9.3658,0.0000,0.7984,0.0000,0.8035,0.0000,0.7991,0.0000,0.8032,0.0000,25.8677,0.0000,74.1323,0.0000,25.6295,0.0000,74.3705,0.0000
15425,236744.8068,0.0000,684602.5073,0.0000,226371.7250,0.0000,670779.2918,0.0000,0.0045,0.0000,0.0060,0.0000,0.0045,0.0000,0.0058,0.0000,2.8292,0.0000,6.1359,0.0000,2.9500,0.0000,6.2897,0.0000,1.6847,0.0000,8.0463,0.0000,1.8318,0.0000,8.4564,0.0000,0.7984,0.0000,0.8035,0.0000,0.7984,0.0000,0.8036,0.0000,25.6955,0.0000,74.3045,0.0000,25.2323,0.0000,74.7677,0.0000
15426,239983.1360,0.0000,695988.8416,0.0000,231275.8890,0.0000,675976.7802,0.0000,0.0045,0.0000,0.0061,0.0000,0.0044,0.0000,0.0058,0.0000,2.8679,0.0000,6.1357,0.0000,3.5623,0.0000,6.6793,0.0000,1.7311,0.0000,8.0460,0.0000,2.6669,0.0000,9.5238,0.0000,0.7984,0.0000,0.8036,0.0000,0.7978,0.0000,0.8032,0.0000,25.6400,0.0000,74.3600,0.0000,25.4919,0.0000,74.5081,0.0000
