# Power Spectral Density estimated with Welch's method
# Raw CSV rows: 1000000
# Preprocess method: reconstructed_uniform_time_axis
# Preprocess details: 原始时间列存在重复时间戳或非均匀步长，因此按首末时间和总样本数重建了均匀时间轴。 检测到 80002 个重复时间块，重复块长度范围为 1 到 10 行。
# Samples used for PSD: 1000000
# Sampling frequency used for PSD (Hz): 999999
# Window: hann
# nperseg: 131072
# noverlap: 65536
# detrend: constant
# Display unit: V^2/Hz
# Display formula: display = PSD_V2_per_Hz
# Reference impedance (Ohm): 50
# Peak count reported: 5
# Minimum peak prominence (dB): 6
# Peak 1: f=69564.74977 Hz, psd_v2_per_hz=1.722620836e-11, prominence_db=17.56305692
# Peak 2: f=40000.87553 Hz, psd_v2_per_hz=1.266751844e-11, prominence_db=16.07189258
# Peak 3: f=65116.81721 Hz, psd_v2_per_hz=8.669987205e-12, prominence_db=13.06382663
# Peak 4: f=17944.31799 Hz, psd_v2_per_hz=7.148190068e-12, prominence_db=12.2700983
# Peak 5: f=475356.5803 Hz, psd_v2_per_hz=6.876615323e-12, prominence_db=15.23737304
frequency_hz,psd_v2_per_hz,psd_v2_per_hz
411.9868926978742,1.3343620213359978e-11,1.3343620213359978e-11
419.6162795996867,1.9499841694203948e-11,1.9499841694203948e-11
427.24566650149916,9.903092705685617e-12,9.903092705685617e-12
434.87505340331165,1.1905843569202717e-11,1.1905843569202717e-11
442.50444030512415,1.5723204482561756e-11,1.5723204482561756e-11
450.13382720693664,2.084739547874588e-11,2.084739547874588e-11
457.76321410874914,1.52033234959952e-11,1.52033234959952e-11
465.39260101056163,8.339385729184258e-12,8.339385729184258e-12
473.0219879123741,7.105018397316765e-12,7.105018397316765e-12
480.65137481418657,1.028900772566001e-11,1.028900772566001e-11
488.28076171599906,9.576852262810609e-12,9.576852262810609e-12
495.91014861781156,9.87071350478202e-12,9.87071350478202e-12
503.53953551962405,7.665609613141061e-12,7.665609613141061e-12
511.1689224214365,1.0477660167235892e-11,1.0477660167235892e-11
518.798309323249,1.0373875865030814e-11,1.0373875865030814e-11
526.4276962250615,6.70854149571152e-12,6.70854149571152e-12
534.057083126874,5.999908477671983e-12,5.999908477671983e-12
541.6864700286865,5.5354293891086866e-12,5.5354293891086866e-12
549.315856930499,9.67406079748561e-12,9.67406079748561e-12
556.9452438323115,8.048542488634161e-12,8.048542488634161e-12
564.574630734124,6.796408318162017e-12,6.796408318162017e-12
572.2040176359365,4.649597435981818e-12,4.649597435981818e-12
579.8334045377488,3.87024734366662e-12,3.87024734366662e-12
587.4627914395613,3.66144951501736e-12,3.66144951501736e-12
595.0921783413738,5.1276951396753385e-12,5.1276951396753385e-12
602.7215652431863,4.211479006373606e-12,4.211479006373606e-12
610.3509521449988,4.250032927729838e-12,4.250032927729838e-12
617.9803390468113,4.25583068550821e-12,4.25583068550821e-12
625.6097259486238,3.6684752150508346e-12,3.6684752150508346e-12
633.2391128504363,3.665267031094144e-12,3.665267031094144e-12
640.8684997522488,5.496371440641688e-12,5.496371440641688e-12
648.4978866540613,1.030628237795547e-11,1.030628237795547e-11
656.1272735558738,7.933920516006231e-12,7.933920516006231e-12
663.7566604576863,5.781807958872859e-12,5.781807958872859e-12
671.3860473594987,4.8413253193590035e-12,4.8413253193590035e-12
679.0154342613112,2.913568808953966e-12,2.913568808953966e-12
686.6448211631237,2.7835023110345265e-12,2.7835023110345265e-12
694.2742080649361,3.7737949215074e-12,3.7737949215074e-12
701.9035949667486,3.3587097616394125e-12,3.3587097616394125e-12
709.5329818685611,2.820602812972377e-12,2.820602812972377e-12
717.1623687703736,3.834530157875615e-12,3.834530157875615e-12
724.7917556721861,3.0975027357550185e-12,3.0975027357550185e-12
732.4211425739986,4.487277070867015e-12,4.487277070867015e-12
740.0505294758111,3.570226559388548e-12,3.570226559388548e-12
747.6799163776236,4.200671093290044e-12,4.200671093290044e-12
755.309303279436,4.6739270310686715e-12,4.6739270310686715e-12
762.9386901812485,3.675855399218334e-12,3.675855399218334e-12
770.568077083061,4.707419246427106e-12,4.707419246427106e-12
778.1974639848735,3.886754567981055e-12,3.886754567981055e-12
785.826850886686,2.650642095097608e-12,2.650642095097608e-12
793.4562377884985,3.134334970508508e-12,3.134334970508508e-12
801.085624690311,2.2430622853750332e-12,2.2430622853750332e-12
808.7150115921235,2.6744992502193712e-12,2.6744992502193712e-12
816.344398493936,2.4822852653487406e-12,2.4822852653487406e-12
