scan_phase_rad,port_b_abs_mean,port_b_abs_std,port_b_norm_mean,port_b_norm_std,loss_mean
2.984513020910303460e+00,3.437256470489044591e-01,2.399368051128251689e-01,3.845429594832545650e-01,2.684292252242535537e-01,1.061450000000000726e-01
3.036872898470133197e+00,3.287635276017834562e-01,2.321220342673549208e-01,3.678040930595940505e-01,2.596864527997884697e-01,1.061450000000000726e-01
3.089232776029962935e+00,3.219462247212447892e-01,2.235316769082781319e-01,3.601772376070446202e-01,2.500759932072630365e-01,1.061450000000000587e-01
3.141592653589793116e+00,3.197803500202723304e-01,2.246638417885074290e-01,3.577541659668205254e-01,2.513426023107858120e-01,1.061450000000000587e-01
3.193952531149622853e+00,3.328796027548548420e-01,2.307474530266403756e-01,3.724089508419764494e-01,2.581486404692487913e-01,1.061450000000000865e-01
3.246312408709452590e+00,3.438172333566465455e-01,2.316905403834246258e-01,3.846454216362235057e-01,2.592037191529102946e-01,1.061450000000000726e-01
3.298672286269282772e+00,3.519186121942970980e-01,2.401303692139375445e-01,3.937088366617595980e-01,2.686457750014684120e-01,1.061450000000000587e-01
3.351032163829112509e+00,3.834073829856949889e-01,2.481322657921640751e-01,4.289368890767462639e-01,2.775978942805758520e-01,1.061450000000000726e-01
3.403392041388942246e+00,3.898934431346105511e-01,2.472027761511602917e-01,4.361931668275174090e-01,2.765580280371651711e-01,1.061450000000001004e-01
3.455751918948772428e+00,4.344270198400287386e-01,2.519660876199366628e-01,4.860150917542875870e-01,2.818869812440906730e-01,1.061450000000000587e-01
3.508111796508602165e+00,4.596418520248827244e-01,2.642766989754184448e-01,5.142241773272876459e-01,2.956594738245223453e-01,1.061450000000000726e-01
3.560471674068431902e+00,4.889877213803905387e-01,2.619670651788802984e-01,5.470548594351326566e-01,2.930755717413677797e-01,1.061450000000000726e-01
3.612831551628262083e+00,5.123617751023187283e-01,2.480267053442817282e-01,5.732045746819324217e-01,2.774797985627218133e-01,1.061450000000000726e-01
3.665191429188091821e+00,5.363504511077320513e-01,2.528828015102125293e-01,6.000418984149913371e-01,2.829125546203943298e-01,1.061450000000000726e-01
3.717551306747921558e+00,5.647927811518982377e-01,2.436861567375307180e-01,6.318617462025699627e-01,2.726238111746656090e-01,1.061450000000000865e-01
3.769911184307751739e+00,5.912371183912680239e-01,2.296735100553416731e-01,6.614463401684479438e-01,2.569471671080227893e-01,1.061450000000000449e-01
3.822271061867581476e+00,6.087312397649600193e-01,2.268746387491084870e-01,6.810178829507694820e-01,2.538159307148346033e-01,1.061450000000000726e-01
3.874630939427411214e+00,5.898103336603460756e-01,2.354901736523061229e-01,6.598501251996644612e-01,2.634545576769231623e-01,1.061450000000000726e-01
3.926990816987241395e+00,6.125968332383943116e-01,2.172832967164080864e-01,6.853425144328714191e-01,2.430856198336509844e-01,1.061450000000000726e-01
3.979350694547071132e+00,6.212415613192104891e-01,2.247263749357372442e-01,6.950138012532351972e-01,2.514125612495732298e-01,1.061450000000000726e-01
4.031710572106900869e+00,5.985797387408633430e-01,2.242494446324029000e-01,6.696608943742143882e-01,2.508789956227832629e-01,1.061450000000000726e-01
4.084070449666731051e+00,5.958495101594901699e-01,2.287894722929044444e-01,6.666064520078648359e-01,2.559581501394571079e-01,1.061450000000000726e-01
