scan_phase_rad,port_b_abs_mean,port_b_abs_std,port_b_norm_mean,port_b_norm_std,loss_mean
5.078908123303498279e+00,4.441877156044902186e-01,2.570732581434313491e-01,4.969348670695921677e-01,2.876006266602875727e-01,1.061450000000000865e-01
5.131268000863328460e+00,4.781026215218055486e-01,2.607592657341824549e-01,5.348771573933195356e-01,2.917243464926442265e-01,1.061450000000000726e-01
5.183627878423158641e+00,5.288385807312876441e-01,2.536838468116989764e-01,5.916379957949416957e-01,2.838087237993846546e-01,1.061450000000000726e-01
5.235987755982987935e+00,5.493436260483982592e-01,2.478355233690241466e-01,6.145780087915806433e-01,2.772659137880575386e-01,1.061450000000000726e-01
5.288347633542818116e+00,5.601111675144926361e-01,2.596408933408274056e-01,6.266241924187845314e-01,2.904731677294722370e-01,1.061450000000000726e-01
5.340707511102648297e+00,5.828590322409029634e-01,2.369141034112011157e-01,6.520733589238780770e-01,2.650475786466497397e-01,1.061450000000001004e-01
5.393067388662477590e+00,5.973675307738360862e-01,2.271840697484734939e-01,6.683047370925219166e-01,2.541621065480123010e-01,1.061450000000000726e-01
5.445427266222307772e+00,6.001791804562331967e-01,2.299815007853261428e-01,6.714502692900228276e-01,2.572917316402841270e-01,1.061450000000000726e-01
5.497787143782137953e+00,6.178449488196865458e-01,2.210075306857836042e-01,6.912138420881314138e-01,2.472521054150657871e-01,1.061450000000000726e-01
5.550147021341967246e+00,6.119720256484693088e-01,2.258726012589906129e-01,6.846435111382376260e-01,2.526949015880546878e-01,1.061450000000000310e-01
5.602506898901797427e+00,5.975301930137212336e-01,2.272994447567824317e-01,6.684867154222121632e-01,2.542911823022553364e-01,1.061450000000000865e-01
5.654866776461627609e+00,5.901324128148337511e-01,2.384173313407424999e-01,6.602104511524059527e-01,2.667293144198359944e-01,1.061450000000001004e-01
5.707226654021456902e+00,5.706064847153895503e-01,2.449989832048764526e-01,6.383658252349536655e-01,2.740925353719299573e-01,1.061450000000000726e-01
5.759586531581287083e+00,5.344181689245445233e-01,2.538646326216189020e-01,5.978801583305396461e-01,2.840109778673486907e-01,1.061450000000000726e-01
5.811946409141117265e+00,5.139387146614422530e-01,2.578494435023852005e-01,5.749687753175205529e-01,2.884689837863917417e-01,1.061450000000000587e-01
5.864306286700946558e+00,4.737497954537568390e-01,2.589592441653983390e-01,5.300074345992995539e-01,2.897105729289407572e-01,1.061450000000000726e-01
