scan_phase_rad,upper_port_abs_mean,lower_port_abs_mean,upper_port_norm_mean,upper_port_norm_std,lower_port_norm_mean,lower_port_norm_std,loss_mean
1.937315469713705607e+00,4.667097159822480301e-01,4.271452840177519250e-01,5.221313479056984841e-01,2.916997697508381115e-01,4.778686520943015159e-01,2.916997697508381115e-01,1.061450000000000726e-01
1.989675347273535566e+00,4.933424090989011468e-01,4.005125909010988083e-01,5.519266649500211841e-01,2.874464635057669137e-01,4.480733350499788159e-01,2.874464635057669137e-01,1.061450000000000726e-01
2.042035224833365525e+00,5.340191078083476039e-01,3.598358921916522402e-01,5.974337088323582456e-01,2.850075739169276590e-01,4.025662911676417544e-01,2.850075739169276590e-01,1.061450000000001004e-01
2.094395102393195263e+00,5.251934777131085363e-01,3.686615222868914188e-01,5.875600379402796669e-01,2.827540904259700505e-01,4.124399620597203331e-01,2.827540904259700505e-01,1.061450000000000726e-01
2.146754979953025000e+00,5.799133625115143742e-01,3.139416374884855809e-01,6.487778918409746742e-01,2.737418132799360193e-01,3.512221081590253258e-01,2.737418132799360193e-01,1.061450000000000726e-01
2.199114857512855181e+00,5.798167113565289021e-01,3.140382886434710530e-01,6.486697633917457573e-01,2.707362596197113724e-01,3.513302366082542427e-01,2.707362596197113724e-01,1.061450000000000726e-01
2.251474735072684918e+00,6.100847373184091760e-01,2.837702626815907792e-01,6.825321079128151558e-01,2.646056846584451949e-01,3.174678920871848442e-01,2.646056846584451949e-01,1.061450000000000726e-01
2.303834612632514656e+00,6.072032885890377152e-01,2.866517114109622399e-01,6.793084880534736580e-01,2.549804571643312645e-01,3.206915119465263420e-01,2.549804571643312645e-01,1.061450000000000726e-01
2.356194490192344837e+00,6.074973578174260869e-01,2.863576421825738683e-01,6.796374779102049013e-01,2.516620848938885824e-01,3.203625220897950987e-01,2.516620848938885824e-01,1.061450000000000726e-01
2.408554367752174574e+00,6.170936279506220590e-01,2.767613720493778962e-01,6.903733021022672167e-01,2.494715531243661133e-01,3.096266978977327833e-01,2.494715531243661133e-01,1.061450000000000587e-01
2.460914245312004311e+00,6.141372649244540849e-01,2.797177350755458702e-01,6.870658718969566703e-01,2.438665178811047496e-01,3.129341281030433297e-01,2.438665178811047496e-01,1.061450000000000726e-01
2.513274122871834493e+00,5.712726649728950834e-01,3.225823350271048717e-01,6.391111141884255886e-01,2.726946376781761439e-01,3.608888858115744114e-01,2.726946376781761439e-01,1.061450000000000449e-01
2.565634000431664230e+00,5.591018656980886181e-01,3.347531343019113370e-01,6.254950363292577364e-01,2.751205637797040637e-01,3.745049636707422636e-01,2.751205637797040637e-01,1.061450000000000726e-01
2.617993877991493967e+00,5.281008887609826008e-01,3.657541112390173543e-01,5.908127031352764513e-01,2.790816045583672800e-01,4.091872968647235487e-01,2.790816045583672800e-01,1.061450000000000865e-01
2.670353755551324149e+00,5.021607466686863752e-01,3.916942533313135799e-01,5.617921773315430745e-01,2.960120012318400162e-01,4.382078226684569255e-01,2.960120012318400162e-01,1.061450000000000865e-01
2.722713633111153886e+00,4.639814608767630078e-01,4.298735391232369474e-01,5.190791133648778866e-01,2.886582187465475124e-01,4.809208866351221134e-01,2.886582187465475124e-01,1.061450000000000726e-01
2.775073510670983623e+00,4.684416820526389191e-01,4.254133179473610360e-01,5.240689844019879029e-01,2.915331817983451423e-01,4.759310155980120971e-01,2.915331817983451423e-01,1.061450000000000726e-01
2.827433388230813804e+00,4.187778218367265159e-01,4.750771781632733282e-01,4.685075564120875780e-01,2.870138534730151680e-01,5.314924435879124776e-01,2.870138534730151680e-01,1.061450000000001004e-01
2.879793265790643542e+00,3.818140373573670754e-01,5.120409626426328797e-01,4.271543341563979745e-01,2.822559433587343847e-01,5.728456658436020810e-01,2.822559433587343847e-01,1.061450000000000726e-01
2.932153143350473279e+00,3.639492021040714453e-01,5.299057978959285098e-01,4.071680553379144474e-01,2.625283752211596822e-01,5.928319446620855526e-01,2.625283752211596822e-01,1.061450000000000726e-01
2.984513020910303460e+00,3.437256470489047366e-01,5.501293529510952185e-01,3.845429594832548426e-01,2.684292252242536647e-01,6.154570405167452130e-01,2.684292252242536647e-01,1.061450000000000726e-01
3.036872898470133197e+00,3.287635276017835673e-01,5.650914723982163324e-01,3.678040930595942171e-01,2.596864527997885808e-01,6.321959069404057274e-01,2.596864527997885808e-01,1.061450000000000726e-01
3.089232776029962935e+00,3.219462247212450112e-01,5.719087752787549439e-01,3.601772376070447312e-01,2.500759932072631475e-01,6.398227623929553243e-01,2.500759932072631475e-01,1.061450000000000587e-01
3.141592653589793116e+00,3.197803500202725524e-01,5.740746499797273472e-01,3.577541659668208029e-01,2.513426023107859231e-01,6.422458340331791415e-01,2.513426023107859231e-01,1.061450000000000726e-01
3.193952531149622853e+00,3.328796027548550640e-01,5.609753972451448911e-01,3.724089508419766714e-01,2.581486404692489023e-01,6.275910491580233286e-01,2.581486404692489023e-01,1.061450000000000726e-01
3.246312408709452590e+00,3.438172333566467120e-01,5.500377666433532431e-01,3.846454216362237277e-01,2.592037191529103501e-01,6.153545783637762723e-01,2.592037191529103501e-01,1.061450000000000726e-01
3.298672286269282772e+00,3.519186121942973200e-01,5.419363878057026351e-01,3.937088366617597646e-01,2.686457750014685231e-01,6.062911633382401799e-01,2.686457750014685231e-01,1.061450000000000726e-01
3.351032163829112509e+00,3.834073829856950999e-01,5.104476170143048552e-01,4.289368890767464304e-01,2.775978942805759075e-01,5.710631109232535696e-01,2.775978942805759075e-01,1.061450000000000726e-01
3.403392041388942246e+00,3.898934431346107177e-01,5.039615568653891264e-01,4.361931668275175200e-01,2.765580280371652266e-01,5.638068331724824800e-01,2.765580280371652266e-01,1.061450000000001004e-01
3.455751918948772428e+00,4.344270198400288496e-01,4.594279801599711055e-01,4.860150917542876980e-01,2.818869812440907285e-01,5.139849082457123020e-01,2.818869812440907285e-01,1.061450000000000726e-01
3.508111796508602165e+00,4.596418520248827244e-01,4.342131479751172307e-01,5.142241773272876459e-01,2.956594738245224008e-01,4.857758226727123541e-01,2.956594738245224008e-01,1.061450000000000726e-01
3.560471674068431902e+00,4.889877213803905387e-01,4.048672786196094164e-01,5.470548594351326566e-01,2.930755717413677797e-01,4.529451405648673434e-01,2.930755717413677797e-01,1.061450000000000726e-01
3.612831551628262083e+00,5.123617751023186173e-01,3.814932248976813378e-01,5.732045746819323107e-01,2.774797985627219243e-01,4.267954253180676893e-01,2.774797985627219243e-01,1.061450000000000726e-01
3.665191429188091821e+00,5.363504511077320513e-01,3.575045488922679038e-01,6.000418984149913371e-01,2.829125546203943853e-01,3.999581015850086629e-01,2.829125546203943853e-01,1.061450000000000865e-01
3.717551306747921558e+00,5.647927811518980157e-01,3.290622188481019395e-01,6.318617462025697407e-01,2.726238111746657200e-01,3.681382537974302593e-01,2.726238111746657200e-01,1.061450000000000726e-01
3.769911184307751739e+00,5.912371183912678019e-01,3.026178816087321533e-01,6.614463401684477217e-01,2.569471671080228448e-01,3.385536598315522783e-01,2.569471671080228448e-01,1.061450000000000587e-01
3.822271061867581476e+00,6.087312397649597973e-01,2.851237602350401579e-01,6.810178829507692599e-01,2.538159307148347144e-01,3.189821170492307401e-01,2.538159307148347144e-01,1.061450000000000587e-01
3.874630939427411214e+00,5.898103336603458535e-01,3.040446663396541016e-01,6.598501251996642392e-01,2.634545576769232178e-01,3.401498748003357608e-01,2.634545576769232178e-01,1.061450000000000726e-01
3.926990816987241395e+00,6.125968332383940895e-01,2.812581667616058656e-01,6.853425144328711971e-01,2.430856198336510954e-01,3.146574855671288029e-01,2.430856198336510954e-01,1.061450000000000726e-01
3.979350694547071132e+00,6.212415613192103780e-01,2.726134386807895771e-01,6.950138012532350862e-01,2.514125612495732853e-01,3.049861987467649138e-01,2.514125612495732853e-01,1.061450000000000726e-01
4.031710572106900869e+00,5.985797387408632320e-01,2.952752612591367232e-01,6.696608943742141662e-01,2.508789956227833740e-01,3.303391056257858338e-01,2.508789956227833740e-01,1.061450000000000865e-01
4.084070449666731051e+00,5.958495101594899479e-01,2.980054898405100072e-01,6.666064520078647249e-01,2.559581501394572189e-01,3.333935479921352751e-01,2.559581501394572189e-01,1.061450000000000726e-01
4.136430327226560344e+00,5.583397184666374358e-01,3.355152815333625194e-01,6.246423843538800869e-01,2.693300215202319992e-01,3.753576156461199131e-01,2.693300215202319992e-01,1.061450000000000726e-01
4.188790204786390525e+00,5.201271182066959931e-01,3.737278817933039621e-01,5.818920498366021432e-01,2.818316588804873901e-01,4.181079501633978568e-01,2.818316588804873901e-01,1.061450000000000726e-01
4.241150082346220707e+00,5.314684522562483915e-01,3.623865477437515636e-01,5.945801637360066394e-01,2.835775579681865111e-01,4.054198362639933606e-01,2.835775579681865111e-01,1.061450000000000587e-01
4.293509959906050000e+00,4.766259086392334310e-01,4.172290913607665241e-01,5.332250853205871000e-01,2.850980622182431312e-01,4.667749146794129000e-01,2.850980622182431312e-01,1.061450000000000726e-01
4.345869837465880181e+00,4.562989656636308178e-01,4.375560343363691373e-01,5.104843242624708122e-01,2.927129732226967374e-01,4.895156757375291878e-01,2.927129732226967374e-01,1.061450000000000726e-01
4.398229715025710362e+00,4.104047726231888071e-01,4.834502273768111480e-01,4.591402102390084172e-01,2.872934310449654083e-01,5.408597897609915828e-01,2.872934310449654083e-01,1.061450000000000726e-01
4.450589592585539656e+00,3.898951453573005210e-01,5.039598546426994341e-01,4.361950711886161680e-01,2.701167941115106275e-01,5.638049288113837765e-01,2.701167941115106275e-01,1.061450000000000726e-01
4.502949470145369837e+00,3.665844258728702676e-01,5.272705741271297430e-01,4.101162111000893340e-01,2.751301623142082264e-01,5.898837888999106660e-01,2.751301623142082264e-01,1.061450000000000726e-01
4.555309347705200018e+00,3.320036543174103016e-01,5.618513456825896535e-01,3.714289838032009961e-01,2.702402898227720396e-01,6.285710161967990039e-01,2.702402898227720396e-01,1.061450000000000726e-01
4.607669225265029311e+00,3.325001632753545877e-01,5.613548367246453674e-01,3.719844530436755003e-01,2.421360203708959324e-01,6.280155469563244441e-01,2.421360203708959324e-01,1.061450000000000726e-01
4.660029102824859493e+00,3.242464305513341194e-01,5.696085694486658912e-01,3.627505921557010460e-01,2.528915504460999553e-01,6.372494078442989540e-01,2.528915504460999553e-01,1.061450000000000726e-01
4.712388980384689674e+00,3.207109530505005135e-01,5.731440469494994971e-01,3.587952778140755528e-01,2.472127258713400222e-01,6.412047221859245028e-01,2.472127258713400222e-01,1.061450000000000865e-01
4.764748857944518967e+00,3.268074907518193628e-01,5.670475092481805923e-01,3.656157774491605728e-01,2.489477837924271297e-01,6.343842225508393717e-01,2.489477837924271297e-01,1.061450000000000587e-01
4.817108735504349148e+00,3.401548737049259197e-01,5.537001262950740355e-01,3.805481579282165572e-01,2.588499310506437445e-01,6.194518420717833873e-01,2.588499310506437445e-01,1.061450000000000726e-01
4.869468613064179330e+00,3.570791037066137208e-01,5.367758962933861788e-01,3.994821349174236258e-01,2.725784460876391480e-01,6.005178650825764297e-01,2.725784460876391480e-01,1.061450000000000865e-01
4.921828490624008623e+00,3.864481243311698733e-01,5.074068756688301374e-01,4.323387175002319505e-01,2.792062206645019029e-01,5.676612824997679940e-01,2.792062206645019029e-01,1.061450000000000726e-01
4.974188368183838804e+00,3.948147839321913821e-01,4.990402160678085730e-01,4.416989152963192167e-01,2.808335336270778582e-01,5.583010847036807833e-01,2.808335336270778582e-01,1.061450000000000865e-01
5.026548245743668986e+00,4.294467806091386008e-01,4.644082193908613543e-01,4.804434506817534811e-01,2.834952158613366913e-01,5.195565493182465744e-01,2.834952158613366913e-01,1.061450000000000726e-01
5.078908123303498279e+00,4.441877156044902186e-01,4.496672843955097365e-01,4.969348670695921677e-01,2.876006266602875727e-01,5.030651329304078878e-01,2.876006266602875727e-01,1.061450000000000865e-01
5.131268000863328460e+00,4.781026215218055486e-01,4.157523784781944065e-01,5.348771573933195356e-01,2.917243464926442265e-01,4.651228426066804644e-01,2.917243464926442265e-01,1.061450000000000726e-01
5.183627878423158641e+00,5.288385807312876441e-01,3.650164192687123110e-01,5.916379957949416957e-01,2.838087237993846546e-01,4.083620042050583043e-01,2.838087237993846546e-01,1.061450000000000726e-01
5.235987755982987935e+00,5.493436260483982592e-01,3.445113739516016960e-01,6.145780087915806433e-01,2.772659137880575386e-01,3.854219912084193567e-01,2.772659137880575386e-01,1.061450000000000726e-01
5.288347633542818116e+00,5.601111675144926361e-01,3.337438324855073191e-01,6.266241924187845314e-01,2.904731677294722370e-01,3.733758075812154686e-01,2.904731677294722370e-01,1.061450000000000726e-01
5.340707511102648297e+00,5.828590322409029634e-01,3.109959677590968807e-01,6.520733589238780770e-01,2.650475786466497397e-01,3.479266410761219230e-01,2.650475786466497397e-01,1.061450000000001004e-01
5.393067388662477590e+00,5.973675307738360862e-01,2.964874692261638689e-01,6.683047370925219166e-01,2.541621065480123010e-01,3.316952629074780834e-01,2.541621065480123010e-01,1.061450000000000726e-01
5.445427266222307772e+00,6.001791804562331967e-01,2.936758195437667585e-01,6.714502692900228276e-01,2.572917316402841270e-01,3.285497307099771724e-01,2.572917316402841270e-01,1.061450000000000726e-01
5.497787143782137953e+00,6.178449488196865458e-01,2.760100511803134093e-01,6.912138420881314138e-01,2.472521054150657871e-01,3.087861579118685862e-01,2.472521054150657871e-01,1.061450000000000726e-01
5.550147021341967246e+00,6.119720256484693088e-01,2.818829743515306463e-01,6.846435111382376260e-01,2.526949015880546878e-01,3.153564888617623740e-01,2.526949015880546878e-01,1.061450000000000310e-01
5.602506898901797427e+00,5.975301930137212336e-01,2.963248069862787215e-01,6.684867154222121632e-01,2.542911823022553364e-01,3.315132845777878368e-01,2.542911823022553364e-01,1.061450000000000865e-01
5.654866776461627609e+00,5.901324128148337511e-01,3.037225871851660930e-01,6.602104511524059527e-01,2.667293144198359944e-01,3.397895488475940473e-01,2.667293144198359944e-01,1.061450000000001004e-01
5.707226654021456902e+00,5.706064847153895503e-01,3.232485152846104048e-01,6.383658252349536655e-01,2.740925353719299573e-01,3.616341747650463345e-01,2.740925353719299573e-01,1.061450000000000726e-01
5.759586531581287083e+00,5.344181689245445233e-01,3.594368310754554319e-01,5.978801583305396461e-01,2.840109778673486907e-01,4.021198416694603539e-01,2.840109778673486907e-01,1.061450000000000726e-01
5.811946409141117265e+00,5.139387146614422530e-01,3.799162853385577021e-01,5.749687753175205529e-01,2.884689837863917417e-01,4.250312246824794471e-01,2.884689837863917417e-01,1.061450000000000587e-01
5.864306286700946558e+00,4.737497954537568390e-01,4.201052045462431161e-01,5.300074345992995539e-01,2.897105729289407572e-01,4.699925654007004461e-01,2.897105729289407572e-01,1.061450000000000726e-01
5.916666164260776739e+00,4.556139654379113280e-01,4.382410345620886272e-01,5.097179804754813359e-01,2.928623956753966806e-01,4.902820195245186641e-01,2.928623956753966806e-01,1.061450000000000865e-01
5.969026041820606920e+00,4.064732209529136053e-01,4.873817790470863498e-01,4.547417880449443062e-01,3.010655571628735871e-01,5.452582119550557493e-01,3.010655571628735871e-01,1.061450000000000726e-01
6.021385919380436214e+00,3.598618293722514738e-01,5.339931706277485368e-01,4.025953083802759069e-01,2.689011329152702356e-01,5.974046916197240931e-01,2.689011329152702356e-01,1.061450000000000449e-01
6.073745796940266395e+00,3.699602982959359077e-01,5.238947017040639365e-01,4.138929673111813035e-01,2.707868913108006925e-01,5.861070326888186965e-01,2.707868913108006925e-01,1.061450000000001004e-01
6.126105674500096576e+00,3.227576282391443341e-01,5.710973717608556210e-01,3.610849950373878348e-01,2.543721312479245156e-01,6.389150049626122208e-01,2.543721312479245156e-01,1.061450000000000726e-01
6.178465552059925869e+00,3.380187202512695555e-01,5.558362797487303997e-01,3.781583369240755776e-01,2.614775342928531976e-01,6.218416630759244779e-01,2.614775342928531976e-01,1.061450000000000587e-01
6.230825429619756051e+00,3.133189717677192787e-01,5.805360282322806764e-01,3.505255010798388193e-01,2.556492335917573411e-01,6.494744989201611807e-01,2.556492335917573411e-01,1.061450000000000726e-01
6.283185307179586232e+00,3.145132545103478949e-01,5.793417454896521157e-01,3.518616045223754707e-01,2.521993555162294620e-01,6.481383954776245293e-01,2.521993555162294620e-01,1.061450000000000865e-01
