comp_x_unit,comp_y_unit,comp_z_unit,final_temperature_uK,cooling_efficiency,mean_field_mG,initial_field_mG,final_field_mG,mean_relative_efficiency
-40.0,-70.0,-120.0,25.227288343002662,0.3992624772161443,180.25061637177518,178.53571071357126,181.38268294691252,0.722946719591626
-30.0,-70.0,-120.0,24.913636146958414,0.40773956359571856,178.67313406427957,180.208212909401,179.442850771294,0.7264529689434902
-20.0,-70.0,-120.0,24.691483608058117,0.4137436862686995,177.64240321879737,182.414363469547,178.0443644512164,0.728745946301081
-10.0,-70.0,-120.0,24.563388751200907,0.4172057094270025,177.16792331139453,185.13508581573618,177.2000415709496,0.7298023385624539
0.0,-70.0,-120.0,24.53089275117646,0.41808397969793354,177.25422822051598,188.34808201837362,176.91781637996485,0.7296112370165905
10.0,-70.0,-120.0,24.59448047232757,0.4163653926397954,177.90067199608666,192.0286436967152,177.20037464002058,0.7281744180175632
20.0,-70.0,-120.0,24.75356595263969,0.41206578506379216,179.10144672259193,196.1504524593303,178.04502742978343,0.7255063043582322
30.0,-70.0,-120.0,25.0065035346312,0.40522963419915675,180.84583212301402,200.6863224038948,179.4438374878921,0.7216336087747803
40.0,-70.0,-120.0,25.35062418783501,0.3959290760044592,183.11865281670978,205.6088519495209,181.38398449777677,0.7165946757782741
50.0,-70.0,-120.0,25.7822954475609,0.3842622852010567,185.90089946567542,210.8909670896314,183.84833111072402,0.7104385516098861
60.0,-70.0,-120.0,26.297002394757328,0.37035128662818034,189.17045766129613,216.50635094610965,186.8161338645758,0.703223823582358
70.0,-70.0,-120.0,26.889446290897666,0.3543392894351982,192.9028847017336,222.42976419535225,190.2638349556105,0.6950172786525521
80.0,-70.0,-120.0,27.553656907756412,0.3363876511417186,197.0721787689103,228.63726730347352,194.16587216069792,0.6858924363091481
90.0,-70.0,-120.0,28.2831142779349,0.3166725870828406,201.65149529495844,235.10635891017495,198.49545317672437,0.6759280126156468
100.0,-70.0,-120.0,29.07087553632825,0.2953817422613987,206.61377868398,241.81604578687495,203.2252542174369,0.6652063706897908
110.0,-70.0,-120.0,29.909702701647976,0.2727107377932979,211.9322913295687,248.746859276655,208.3280177308145,0.6538120084555865
