time_s,value
24035.610012,836138364.0
24041.626661,836006031.0
24047.644337,836051664.0
24053.649639,836102431.0
24059.64918,836128731.0
24065.650309,836055131.0
24071.648849,836084998.0
24077.657622,836070298.0
24084.780621,836070298.0
24090.809862,836070298.0
24096.807609,836045898.0
24102.809267,836014364.0
24108.808663,836029031.0
24114.809614,836081231.0
24120.832747,836031431.0
24126.846284,836029431.0
24132.856358,835904231.0
24138.862579,835979631.0
24144.876134,836028731.0
24150.891335,836121798.0
24156.905752,836046698.0
24162.907051,836034998.0
24168.921088,836030831.0
24174.932686,836006031.0
24180.932819,836061964.0
24186.933406,835980531.0
24192.932403,836112064.0
24198.931069,836054631.0
24204.933445,835979031.0
24210.932952,836095898.0
24216.952245,836068331.0
24222.964592,835962864.0
24228.963199,835984998.0
24234.967803,835903831.0
24240.979055,836013464.0
24246.998134,836038264.0
24253.022289,836164464.0
24259.032439,836079031.0
24265.044612,836020098.0
24271.09397,836046398.0
24277.104087,836034998.0
24283.128417,836034998.0
24289.140858,836030831.0
24295.153417,836068331.0
24301.152798,836131231.0
24307.151426,836095098.0
24313.152862,836128131.0
24319.161958,835947498.0
24325.164959,836147798.0
24331.170923,836062364.0
24337.186209,836018331.0
24343.202365,836088164.0
24349.222795,836088664.0
24355.231184,836078931.0
24361.234816,836059998.0
24367.244813,836070698.0
24373.251029,835989664.0
24379.266495,836051664.0
24385.278786,836094098.0
24391.292644,835996298.0
24397.299456,836071298.0
24403.312302,836070798.0
24409.337688,836026664.0
24415.340974,836164164.0
24421.350739,836020998.0
24427.374152,835964164.0
24433.386331,836038164.0
24439.386071,836098098.0
24445.386692,836126664.0
24451.415424,836179531.0
24457.432968,835951664.0
24463.434591,836055431.0
24469.515012,836014564.0
24475.539996,836005364.0
24481.541578,836011064.0
24487.551542,836028531.0
24493.565334,835993331.0
24499.582987,836001664.0
24505.58616,836122398.0
24511.58701,836038364.0
24517.601036,836046398.0
24523.607432,836021098.0
24529.631382,836088864.0
24535.643807,836005731.0
24541.654271,836076664.0
24547.681146,836101664.0
24553.684388,836054031.0
24559.684779,836062164.0
24565.68732,836070198.0
24571.70137,836145598.0
24577.719322,836104031.0
24583.740629,835996498.0
24589.757521,836146098.0
24595.76904,836138064.0
24601.775196,836120498.0
24607.785148,836039764.0
24613.789149,836155231.0
24619.789896,836018331.0
24625.78987,836154331.0
24631.79108,836043331.0
24637.794087,836038364.0
24643.796122,836059998.0
24649.804848,836079531.0
24655.80514,836038364.0
24661.805639,836101664.0
24667.944591,836053931.0
24673.963789,836171798.0
24679.981749,836172298.0
24685.987131,836102331.0
24692.006556,836096398.0
24698.015497,836036864.0
24704.039565,836139564.0
24710.068683,836020498.0
24716.081244,836103831.0
24722.08838,836113064.0
24728.101131,836054231.0
24734.105175,836145098.0
24740.115789,836028531.0
24746.126677,836080831.0
24752.135107,836037364.0
24758.157073,836087864.0
24764.174313,836062864.0
24770.192648,836073498.0
24776.199066,836036864.0
24782.202194,835993331.0
24788.217233,836045598.0
24794.228971,836054231.0
24800.228676,836102831.0
24806.248866,836088464.0
24812.261263,836018331.0
24818.290742,836137364.0
24824.295255,835995898.0
24830.292258,836097298.0
24836.293441,836113864.0
24842.306975,836111864.0
24848.32831,836061964.0
24854.341389,836071598.0
24860.362685,836055031.0
24866.370582,836062064.0
24872.393972,836096898.0
24878.400513,836096898.0
24884.405204,836147798.0
24890.417355,836045398.0
24896.417276,835993331.0
24902.432294,836013064.0
24908.455553,836005431.0
24914.472171,836070598.0
24920.481407,836036964.0
24926.493822,835959998.0
24932.500659,835976664.0
24938.519567,836114164.0
24944.525265,835954931.0
24950.555049,836065064.0
24956.574447,836022298.0
24962.588903,835989164.0
24968.611015,836018331.0
24974.62351,835926664.0
24980.642255,836096198.0
24986.656197,836047798.0
24992.668416,836104331.0
24998.68668,835968331.0
25004.69813,835984998.0
25010.703678,836118331.0
25016.718933,836087864.0
25022.733219,836095398.0
25028.752898,836079531.0
25034.760945,836080831.0
25040.779355,836137564.0
25046.79837,836005231.0
25052.807044,836001664.0
25058.812002,836055531.0
25064.820433,836114764.0
25070.828447,836128731.0
25076.842168,836128731.0
25082.860551,836037864.0
25088.880517,836006031.0
25094.885343,836044498.0
25100.911423,836036364.0
25106.922009,835994498.0
25112.941542,836054531.0
25118.946417,835995498.0
25124.958147,836047498.0
