time_s,value
817.5515989999957,835831556.8634031
823.5601219999957,835910769.8946252
829.5686449999956,835923734.486245
835.5771679999956,835843407.9043008
841.5856909999956,835845897.8323073
847.5942139999955,835845683.3012382
853.6027369999955,835941004.7841655
859.6112599999955,835907834.5528127
865.6197829999954,835844855.4508362
871.6283059999954,835888202.0253155
877.6368289999954,835875315.6073048
883.6453519999953,835882589.6535572
889.6538749999953,835837338.0560153
895.6623979999953,835901602.5953705
901.6709209999952,835918185.7675425
907.6794439999952,835893655.3693599
913.6879669999952,835811725.6784478
919.6964899999952,835854200.2953501
925.7050129999951,835876131.5031567
931.7135359999951,835906221.0257303
937.722058999995,835948642.8132298
943.730581999995,835804857.938408
949.739104999995,835909998.0
955.747627999995,835911089.8085126
961.7561509999949,835945244.0832342
967.7646739999949,835918249.6507609
973.7731969999949,835838988.0998876
979.7817199999948,835949553.1519703
985.7902429999948,835829623.6608002
991.7987659999948,835906690.8119595
997.8072889999947,835829669.0927083
1003.8158119999947,835924044.3325924
1009.8243349999947,835838959.7287679
1015.8328579999946,835866670.551425
1021.8413809999946,835766828.4961021
1027.8499039999947,835817457.5254474
1033.8584269999947,835837553.195545
1039.8669499999946,835891245.691948
1045.8754729999946,835839518.3135433
1051.8839959999946,835853858.4068233
1057.8925189999945,835778580.507117
1063.9010419999945,835816470.8505638
1069.9095649999945,835812156.7143983
1075.9180879999944,835804250.2447133
1081.9266109999944,835857595.3096393
1087.9351339999944,835879351.589058
1093.9436569999943,835818456.2216257
1099.9521799999943,835773540.4516208
1105.9607029999943,835880672.776742
1111.9692259999943,835809196.7146854
1117.9777489999942,835848206.4552107
1123.9862719999942,835872482.3602346
1129.9947949999942,835881069.6759404
1136.0033179999941,835856780.1176361
1142.011840999994,835902331.0
1148.020363999994,835900481.6467797
1154.028886999994,835853502.7167894
1160.037409999994,835861318.8957573
1166.045932999994,835946934.7536079
1172.054455999994,835917195.7702073
1178.062978999994,835804468.8133992
1184.0715019999939,835873066.7657416
1190.0800249999938,835899394.0511702
1196.0885479999938,835928988.4806842
1202.0970709999938,835866806.7534603
1208.1055939999937,835837420.7635785
1214.1141169999937,835772642.3457258
1220.1226399999937,835862499.0052581
1226.1311629999936,835879882.5148042
1232.1396859999936,835887465.9359752
1238.1482089999936,835828629.5683893
1244.1567319999936,835851376.5348922
1250.1652549999935,835815189.3090246
1256.1737779999935,835815556.4337565
1262.1823009999935,835764104.1930052
1268.1908239999934,835835619.2773522
1274.1993469999934,835846899.944444
1280.2078699999934,835861702.8054594
1286.2163929999933,835858628.170701
1292.2249159999933,835799790.1907097
1298.2334389999933,835784125.4008075
1304.2419619999932,835825417.3758328
1310.2504849999932,835827869.3482658
1316.2590079999932,835845442.2718376
1322.2675309999931,835850625.3179479
1328.276053999993,835836664.0
1334.284576999993,835842253.9086694
1340.293099999993,835913095.7856954
1346.301622999993,835893528.6321476
