time_s,value,kept
25401.685737,836004031.0,1
25407.707957,835976664.0,1
25413.718115,836096398.0,1
25419.729489,836112164.0,1
25425.739197,836102531.0,1
25431.757416,835996598.0,1
25437.776926,836128931.0,1
25443.78253,836164764.0,1
25449.799663,836070998.0,1
25455.820836,836103631.0,1
25461.838135,836034998.0,1
25467.857011,836139964.0,1
25473.881782,836020198.0,1
25479.88777,836020198.0,1
25485.906609,836030731.0,1
25491.921428,836156031.0,1
25497.948656,836114964.0,1
25503.954617,836021398.0,1
25509.977395,836147298.0,1
25516.003515,836052931.0,1
25522.009696,836012364.0,1
25528.035591,836106131.0,1
25534.044894,836145998.0,1
25540.060953,836088464.0,1
25546.075304,835993698.0,1
25552.088619,836059998.0,1
25558.10498,835976664.0,1
25564.127478,836087464.0,1
25570.136381,836129431.0,1
25576.160667,835968331.0,1
25582.165806,836051664.0,1
25588.19141,836131331.0,1
25594.201695,836105031.0,1
25600.213608,836020598.0,1
25606.218301,836070998.0,1
25612.236737,836103031.0,1
25618.257332,836070898.0,1
25624.281772,836076664.0,1
25630.300381,836145798.0,1
25636.31136,836096198.0,1
25642.326532,836087664.0,1
25648.343906,836161764.0,1
25654.364112,836022098.0,1
25660.398314,836030831.0,1
25666.424981,836055031.0,1
25672.438424,835970998.0,1
25678.44712,836055798.0,1
25684.470806,836072198.0,1
25690.490022,836018331.0,1
25696.498961,836079631.0,1
25702.513043,835961764.0,1
25708.526724,836121098.0,1
25714.548779,836068331.0,1
25720.556691,836113464.0,1
25726.568747,836130731.0,1
25732.587822,836126664.0,1
25738.618559,836029431.0,1
25744.625586,836013564.0,1
25750.635569,836006231.0,1
25756.639086,836076664.0,1
25762.649188,836096498.0,1
25768.672173,836055531.0,1
25774.684968,836072698.0,1
25780.705904,835951664.0,1
25786.71498,836095198.0,1
25792.736073,836128631.0,1
25798.7491,836098398.0,1
25804.77004,836013364.0,1
25810.784721,836154831.0,1
25816.802484,836043331.0,1
25822.80714,836129031.0,1
25828.824553,836069598.0,1
25834.84172,836071398.0,1
25840.855604,836087164.0,1
25846.873832,836078131.0,1
25852.893775,836054331.0,1
25858.906496,836054931.0,1
25864.917987,836147498.0,1
25870.937014,836055831.0,1
25877.067592,836171598.0,1
25883.073477,836105764.0,1
25889.08774,836114664.0,1
25895.104053,836093331.0,1
25901.124109,836188664.0,1
25907.14616,836146598.0,1
25913.151023,836079931.0,1
25919.175629,836079631.0,1
25925.200336,836104631.0,1
25931.214543,836038364.0,1
25937.237351,836109998.0,1
25943.257794,836162464.0,1
25949.287024,836084998.0,1
25955.304647,836189964.0,1
25961.324071,836095998.0,1
25967.326727,836078831.0,1
25973.336055,836162864.0,1
25979.345598,836197098.0,1
25985.352566,836129031.0,1
25991.365574,836070498.0,1
25997.370703,836109998.0,1
26003.390087,836147598.0,1
26009.405711,836130731.0,1
26015.422808,836155631.0,1
26021.440063,836120698.0,1
26027.456116,836195798.0,1
26033.470395,836128831.0,1
26039.488826,836180231.0,1
26045.505889,836122698.0,1
26051.515078,836189364.0,1
26057.527127,836118331.0,1
26063.542726,836113964.0,1
26069.54378,836153731.0,1
26075.553103,836078631.0,1
26081.679023,836071898.0,1
26087.684917,836118164.0,1
26093.691393,836137364.0,1
26099.701211,836113664.0,1
26105.706899,836164164.0,1
26111.722293,836001664.0,1
26117.728926,836130831.0,1
26123.746869,836070798.0,1
26129.762225,835993331.0,1
26135.783254,836009998.0,1
26141.796619,835979831.0,1
26147.809689,836019898.0,1
26153.823023,836021098.0,1
26159.831672,836055231.0,1
26165.849597,836088364.0,1
26171.865918,836068331.0,1
26177.877137,836071898.0,1
26183.899254,836122298.0,1
26189.92396,836021598.0,1
26195.934775,835993331.0,1
26201.952228,836023298.0,1
26207.961314,836055631.0,1
26213.960523,836043331.0,1
26219.964887,835996398.0,1
26225.96091,836129931.0,1
26231.965526,836003431.0,1
26237.961945,836065664.0,1
26243.962637,836005031.0,1
26249.961515,836082231.0,1
26255.961629,836021898.0,1
26261.960455,836054831.0,1
26267.960764,836111864.0,1
26273.961886,836079131.0,1
26279.960213,836064264.0,1
26285.962487,836064264.0,1
26291.961701,835926664.0,1
26297.961624,836001664.0,1
26303.961752,836074198.0,1
26309.959987,836034998.0,1
26315.961514,836038764.0,1
26321.964795,836113964.0,1
26327.992294,836084998.0,1
26334.014487,836063464.0,1
26340.036397,836136264.0,1
26346.052849,836112664.0,1
26352.065995,836011764.0,1
26358.07557,835951664.0,1
26364.092454,836036364.0,1
26370.117844,836038964.0,1
26376.148776,836098398.0,1
26382.171419,836001664.0,1
26388.192318,835963264.0,1
26394.211083,836068331.0,1
26400.214107,835993331.0,1
26406.239106,835959998.0,1
26412.251318,835996098.0,1
26418.265509,836001664.0,1
