=== FIT PARAMETERS ===
Baseline (Offset),1.6037730873791256
Name,Amplitude,Center,Width (Sigma),Area
-hk(bragg transfered),18.45659858175338,-747.4990319251717,8.724338488695167,403.62132891795983
+hk,16.526178690811925,-715.7264333881357,9.48994015761084,393.12064555297854

=== CURVE DATA ===
X_Mapped,Y_Raw,Y_Fit_Total,Y_-hk(bragg transfered),Y_+hk
-700.0,4.9143,5.790180704610728,1.6037798407036241,5.79017395128623
-698.0,4.9426,4.4912609671646315,1.6037749756424493,4.491259078901308
-696.0,3.5186,3.508837811574673,1.6037735883173276,3.508837310636471
-694.0,3.9564,2.806065378359582,1.603773213469636,2.8060652522690717
-692.0,4.2983,2.3295799852099655,1.6037731174923533,2.329579955096738
-690.0,3.4545,2.0228973450794214,1.6037730942026518,2.0228973382558957
-688.0,3.9827,1.8352859742511087,1.6037730888461492,1.8352859727840851
-686.0,4.7066,1.7260989274363046,1.603773087678381,1.7260989271370493
-684.0,4.1874,1.665599194917053,1.6037730874370448,1.6655991948591338
-682.0,3.1533,1.6336637996461314,1.6037730873897618,1.6336637996354952
-680.0,2.4044,1.6175963730676106,1.6037730873809788,1.6175963730657574
-678.0,2.2835,1.609888094458854,1.603773087379432,1.6098880944585476
-676.0,2.0503,1.6063606645162163,1.6037730873791736,1.6063606645161683
-674.0,0.6266,1.6048204578051906,1.6037730873791327,1.6048204578051835
-672.0,1.9635,1.604178612692951,1.6037730873791267,1.6041786126929498
-670.0,2.2822,1.6039232792032152,1.6037730873791258,1.603923279203215
-668.0,0.85,1.6038262964009702,1.6037730873791256,1.6038262964009702
-666.0,0.545,1.6037911190062997,1.6037730873791256,1.6037911190062997
-664.0,1.4777,1.603778932523246,1.6037730873791256,1.603778932523246
-662.0,1.0163,1.6037748998297698,1.6037730873791256,1.6037748998297698
-660.0,0.9151,1.603773624964958,1.6037730873791256,1.603773624964958
-658.0,1.6722,1.603773239903798,1.6037730873791256,1.603773239903798
-656.0,0.9044,1.6037731287736643,1.6037730873791256,1.6037731287736643
-654.0,0.852,1.6037730981253686,1.6037730873791256,1.6037730981253686
-652.0,1.2853,1.6037730900477098,1.6037730873791256,1.6037730900477098
-650.0,1.1941,1.6037730880130185,1.6037730873791256,1.6037730880130185
-648.0,0.9449,1.6037730875231584,1.6037730873791256,1.6037730875231584
-646.0,0.4768,1.6037730874104308,1.6037730873791256,1.6037730874104308
-644.0,0.0418,1.6037730873856342,1.6037730873791256,1.6037730873856342
-642.0,0.6468,1.60377308738042,1.6037730873791256,1.60377308738042
-640.0,0.4327,1.6037730873793719,1.6037730873791256,1.6037730873793719
-638.0,0.8333,1.6037730873791705,1.6037730873791256,1.6037730873791705
-636.0,0.5083,1.6037730873791334,1.6037730873791256,1.6037730873791334
-634.0,0.3722,1.603773087379127,1.6037730873791256,1.603773087379127
-632.0,0.8875,1.6037730873791258,1.6037730873791256,1.6037730873791258
-630.0,0.1772,1.6037730873791256,1.6037730873791256,1.6037730873791256
-628.0,0.1151,1.6037730873791256,1.6037730873791256,1.6037730873791256
-626.0,0.4509,1.6037730873791256,1.6037730873791256,1.6037730873791256
-624.0,0.7215,1.6037730873791256,1.6037730873791256,1.6037730873791256
-622.0,0.6925,1.6037730873791256,1.6037730873791256,1.6037730873791256
-620.0,1.1609,1.6037730873791256,1.6037730873791256,1.6037730873791256
-618.0,-0.7254,1.6037730873791256,1.6037730873791256,1.6037730873791256
-616.0,0.8783,1.6037730873791256,1.6037730873791256,1.6037730873791256
-614.0,-0.2215,1.6037730873791256,1.6037730873791256,1.6037730873791256
-612.0,-0.0996,1.6037730873791256,1.6037730873791256,1.6037730873791256
-610.0,0.6303,1.6037730873791256,1.6037730873791256,1.6037730873791256
-608.0,0.5881,1.6037730873791256,1.6037730873791256,1.6037730873791256
-606.0,0.0534,1.6037730873791256,1.6037730873791256,1.6037730873791256
