Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
452,8708.0897,8721.8251,646506.8143,67460.1136,-145.8112,15438.1223,661128.2248,67780.2643,0.0004,0.0001,0.0075,0.0007,0.0005,0.0001,0.0079,0.0007,3.6656,0.5868,4.6067,0.0631,6.0878,1.2375,4.2998,0.2332,2.9074,0.9102,4.5399,0.1234,8.0833,3.1837,3.9633,0.4236,0.8008,0.0002,0.8038,0.0001,0.7996,0.0009,0.8038,0.0001,1.2624,1.3167,98.7376,1.3167,-0.1962,2.4781,100.1962,2.4781
454,2494.5129,7046.9308,638051.4395,49655.2911,-9544.0385,10195.8680,654710.4626,51234.5165,0.0004,0.0001,0.0075,0.0005,0.0004,0.0001,0.0079,0.0005,3.5506,0.3982,4.5485,0.0462,6.1304,2.0714,4.2146,0.1781,2.7027,0.6111,4.4262,0.0914,8.6546,5.1118,3.8055,0.3225,0.8012,0.0002,0.8039,0.0001,0.7999,0.0016,0.8039,0.0002,0.3226,0.9951,99.6774,0.9951,-1.5900,1.5819,101.5900,1.5819
456,3967.6358,7099.0122,623216.6185,55059.6163,-6428.6786,10237.6550,637478.0138,58767.9281,0.0004,0.0001,0.0074,0.0006,0.0004,0.0001,0.0077,0.0007,3.5002,0.3633,4.5525,0.0214,6.2581,1.1717,4.2146,0.3498,2.6218,0.5439,4.4327,0.0409,8.5226,3.0248,3.8195,0.6176,0.8011,0.0002,0.8038,0.0001,0.8003,0.0005,0.8038,0.0003,0.5975,1.0682,99.4025,1.0682,-1.1088,1.5698,101.1088,1.5698
458,5742.2601,8378.4919,641568.0191,56768.1589,-3565.1058,12032.7043,655349.1010,56897.4291,0.0004,0.0001,0.0075,0.0006,0.0004,0.0001,0.0079,0.0006,3.8173,0.6472,4.5740,0.0479,6.0878,1.3000,4.3849,0.3562,3.1643,1.0210,4.4767,0.0942,8.1268,3.5145,4.1336,0.6487,0.8012,0.0005,0.8039,0.0002,0.8001,0.0008,0.8038,0.0002,0.8412,1.2888,99.1588,1.2888,-0.6499,1.9473,100.6499,1.9473
460,-1148.6533,11045.4771,606497.9861,29991.2728,-2876.1434,12484.2523,620463.3581,30128.8579,0.0003,0.0001,0.0072,0.0003,0.0004,0.0001,0.0076,0.0004,1.3712,3.7509,4.5170,0.0403,5.9601,0.7821,4.2572,0.2607,2.7876,1.8189,4.3637,0.0775,7.6143,1.8573,3.8868,0.4821,0.8011,0.0004,0.8038,0.0001,0.7999,0.0005,0.8037,0.0004,-0.2773,1.7387,100.2773,1.7387,-0.5706,1.9260,100.5706,1.9260
462,4444.3534,3939.4488,616428.9613,9512.3556,-6379.0415,3101.1571,631408.4703,12407.6128,0.0004,0.0001,0.0073,0.0001,0.0004,0.0000,0.0077,0.0002,3.7229,0.1271,4.5204,0.0162,6.3858,0.7675,4.2572,0.0000,2.9436,0.2017,4.3712,0.0313,8.7141,2.1128,3.8773,0.0000,0.8011,0.0001,0.8039,0.0000,0.8003,0.0004,0.8039,0.0000,0.7068,0.6254,99.2932,0.6254,-1.0275,0.5183,101.0275,0.5183
464,4532.8665,5906.4574,629127.9016,36833.3774,-4911.2329,8743.6951,643194.6476,39604.4227,0.0004,0.0000,0.0074,0.0004,0.0005,0.0000,0.0078,0.0005,3.6619,0.4868,4.5961,0.0369,5.5344,1.1947,4.4275,0.2775,2.8846,0.7616,4.5180,0.0718,6.7199,2.6853,4.2029,0.5177,0.8009,0.0003,0.8038,0.0001,0.8002,0.0008,0.8036,0.0002,0.7429,0.9416,99.2571,0.9416,-0.7486,1.3491,100.7486,1.3491
466,9837.3538,6845.0762,645091.5063,41820.6924,939.0358,7111.3117,661731.0596,42782.7101,0.0004,0.0001,0.0075,0.0004,0.0005,0.0001,0.0079,0.0004,3.9199,0.2625,4.6035,0.0654,5.1087,1.9509,4.3991,0.4431,3.2698,0.4430,4.5341,0.1275,6.0691,4.4752,4.1664,0.8471,0.8010,0.0003,0.8039,0.0001,0.8014,0.0018,0.8038,0.0004,1.5139,1.0454,98.4861,1.0454,0.1324,1.0743,99.8676,1.0743
468,1014.2222,4617.7920,658640.1973,40862.7639,-13476.0515,8259.8589,674154.7896,42660.6317,0.0004,0.0001,0.0078,0.0004,0.0004,0.0001,0.0081,0.0004,3.3065,0.1781,4.5633,0.0508,5.8324,1.8654,4.2998,0.2332,2.3255,0.2467,4.4546,0.0988,7.7829,4.2952,3.9627,0.4370,0.8011,0.0004,0.8038,0.0001,0.8009,0.0024,0.8037,0.0001,0.1298,0.6842,99.8702,0.6842,-2.0682,1.3152,102.0682,1.3152
470,7163.8271,8281.8567,630558.0360,46025.7895,-842.1368,11806.6458,644638.9141,47671.9432,0.0004,0.0001,0.0074,0.0005,0.0004,0.0001,0.0078,0.0005,2.3563,3.4674,4.5643,0.0750,7.2905,0.9093,4.2040,0.2678,3.0915,1.1299,4.4575,0.1455,11.3690,2.7843,3.7915,0.4710,0.8011,0.0001,0.8039,0.0001,0.7999,0.0009,0.8038,0.0002,1.0452,1.2679,98.9548,1.2679,-0.2587,1.9225,100.2587,1.9225
472,5210.9782,5720.5945,587220.0383,20638.9846,-5318.3858,10831.4727,601728.1996,24179.4080,0.0004,0.0001,0.0069,0.0003,0.0004,0.0001,0.0073,0.0003,3.5719,0.4926,4.5606,0.0408,5.1087,0.9031,4.5233,0.3635,2.7448,0.7377,4.4479,0.0786,5.6508,1.9721,4.3922,0.6887,0.8009,0.0002,0.8037,0.0001,0.8003,0.0012,0.8034,0.0003,0.8613,0.9656,99.1387,0.9656,-0.9471,1.9039,100.9471,1.9039
474,-548.2469,4150.4636,631013.0328,47930.6834,-12986.1164,7537.8557,644580.4365,49588.6114,0.0003,0.0001,0.0074,0.0005,0.0004,0.0001,0.0078,0.0006,3.2742,0.2628,4.5592,0.0428,5.5769,0.7281,4.2572,0.3982,2.2867,0.3699,4.4474,0.0842,6.6868,1.6612,3.9043,0.7286,0.8011,0.0002,0.8039,0.0001,0.8010,0.0012,0.8039,0.0004,-0.1073,0.6425,100.1073,0.6425,-2.1089,1.2835,102.1089,1.2835
476,1716.9959,5248.0006,590437.6413,43987.4012,-9564.8256,5807.7624,602295.9157,43663.5132,0.0003,0.0001,0.0070,0.0005,0.0004,0.0001,0.0073,0.0005,2.2630,2.8845,4.5486,0.0458,5.4067,0.7616,4.2572,0.1505,2.4986,0.4378,4.4252,0.0891,6.2941,1.7585,3.8793,0.2711,0.8010,0.0002,0.8038,0.0001,0.8009,0.0011,0.8037,0.0003,0.3003,0.8910,99.6997,0.8910,-1.5792,0.9064,101.5792,0.9064
478,4371.1617,11374.3136,624089.3465,41735.2293,-1782.2702,14679.8644,638682.2989,41419.3117,0.0004,0.0001,0.0073,0.0004,0.0004,0.0001,0.0078,0.0004,2.5705,3.0226,4.5706,0.0626,5.0235,2.3395,4.3424,0.2427,2.9537,1.3182,4.4688,0.1225,6.2691,5.3046,4.0415,0.4522,0.8012,0.0003,0.8038,0.0001,0.8016,0.0022,0.8037,0.0002,0.5980,1.7849,99.4020,1.7849,-0.3765,2.2904,100.3765,2.2904
480,515.7451,3626.3284,600798.3408,41739.8561,-11971.0253,6488.4429,616724.7017,42279.2764,0.0003,0.0001,0.0072,0.0005,0.0004,0.0000,0.0075,0.0005,1.7712,3.4181,4.5019,0.0432,6.1197,1.5288,4.4701,0.1738,2.5275,0.3486,4.3359,0.0830,8.3034,3.8561,4.2771,0.3311,0.8014,0.0003,0.8039,0.0001,0.8008,0.0013,0.8037,0.0001,0.0669,0.5685,99.9331,0.5685,-1.9885,1.0704,101.9885,1.0704
482,-227.1757,6225.1082,600542.8896,24839.9464,-12389.9433,11791.4865,614219.8433,25667.5195,0.0003,0.0000,0.0071,0.0003,0.0004,0.0001,0.0075,0.0003,3.3306,0.5923,4.5355,0.0257,6.2581,0.7616,4.3424,0.1166,2.4148,0.9140,4.3998,0.0496,8.4054,2.0306,4.0327,0.2167,0.8013,0.0003,0.8038,0.0001,0.8011,0.0009,0.8036,0.0001,-0.0682,0.9924,100.0682,0.9924,-2.1376,1.9549,102.1376,1.9549
