Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
425,122353.8582,5811.7522,464117.5683,26516.0747,110400.8073,7309.1402,467775.8629,25787.1924,0.0020,0.0001,0.0049,0.0003,0.0020,0.0001,0.0051,0.0003,3.2501,0.0812,5.1456,0.0219,3.8847,0.3193,5.1087,0.4598,2.2309,0.1113,5.6646,0.0472,3.2007,0.5000,5.6146,1.0276,0.7993,0.0001,0.8039,0.0001,0.7992,0.0003,0.8038,0.0003,20.8695,0.2519,79.1305,0.2519,19.0960,0.7979,80.9040,0.7979
427,148010.7480,15367.1550,549906.6826,65618.9021,138377.0482,21098.0312,555880.4392,67068.2585,0.0023,0.0001,0.0058,0.0008,0.0022,0.0002,0.0063,0.0008,3.5150,0.1658,5.1234,0.1011,4.3849,0.4900,4.5126,0.1781,2.6140,0.2476,5.6167,0.2223,4.0974,0.8730,4.3651,0.3421,0.7995,0.0001,0.8038,0.0001,0.7992,0.0003,0.8041,0.0000,21.2507,1.0453,78.7493,1.0453,19.9170,1.5197,80.0830,1.5197
429,135530.5713,12726.5846,530603.4769,58594.0594,124450.9245,18457.3167,536528.9146,60848.1175,0.0021,0.0001,0.0057,0.0006,0.0020,0.0001,0.0061,0.0006,3.5001,0.2046,5.0236,0.0446,4.5126,0.4094,4.5552,0.1166,2.5947,0.3015,5.3988,0.0953,4.3229,0.7866,4.4413,0.2268,0.7995,0.0001,0.8039,0.0000,0.7991,0.0005,0.8039,0.0002,20.3736,0.5496,79.6264,0.5496,18.7752,0.6303,81.2248,0.6303
431,127348.8547,13113.5458,537071.2984,53059.6698,116678.9816,19353.8115,545141.9010,58168.9292,0.0019,0.0001,0.0058,0.0006,0.0018,0.0002,0.0063,0.0008,3.6754,0.1821,4.9498,0.0641,4.5552,0.8049,4.2572,0.3366,2.8596,0.2867,5.2419,0.1360,4.4852,1.4715,3.8959,0.6114,0.7996,0.0002,0.8039,0.0000,0.7993,0.0013,0.8038,0.0003,19.1863,1.2193,80.8137,1.2193,17.6073,2.0152,82.3927,2.0152
433,109251.4547,3137.3508,492515.9723,21859.3971,98173.1368,4667.1016,497612.7463,23294.2530,0.0017,0.0001,0.0054,0.0002,0.0016,0.0001,0.0058,0.0003,3.5440,0.1277,4.9409,0.0446,4.2146,0.4094,4.4701,0.3687,2.6558,0.1873,5.2236,0.0957,3.7812,0.7573,4.2977,0.6702,0.7996,0.0001,0.8039,0.0002,0.7997,0.0004,0.8039,0.0003,18.1649,0.3964,81.8351,0.3964,16.4854,0.6128,83.5146,0.6128
435,98724.9529,3942.5531,572214.1434,51564.3730,83903.6160,7176.2690,583845.7674,56779.6314,0.0014,0.0001,0.0064,0.0006,0.0014,0.0001,0.0069,0.0008,3.6639,0.1589,4.8118,0.0514,3.7251,0.5067,4.4701,0.3886,2.8412,0.2520,4.9523,0.1061,2.9799,0.8409,4.2953,0.7391,0.7997,0.0001,0.8038,0.0000,0.8006,0.0007,0.8036,0.0004,14.7851,1.3820,85.2149,1.3820,12.6236,1.3879,87.3764,1.3879
437,83696.5156,5455.3170,588243.0472,56460.0064,70361.4586,9240.8126,601958.6745,58294.9525,0.0012,0.0000,0.0067,0.0006,0.0012,0.0001,0.0072,0.0007,3.6878,0.1618,4.7072,0.0272,4.0443,0.6386,4.1721,0.1166,2.8799,0.2545,4.7391,0.0548,3.5307,1.0131,3.7244,0.2055,0.7999,0.0002,0.8038,0.0001,0.8004,0.0008,0.8037,0.0002,12.4943,0.7407,87.5057,0.7407,10.4605,0.8061,89.5395,0.8061
439,67480.2115,9006.7962,589481.2948,67731.0723,52169.8492,13354.1668,604031.3416,68970.6281,0.0010,0.0001,0.0068,0.0007,0.0010,0.0001,0.0073,0.0007,3.5305,0.1757,4.6763,0.0861,4.5233,1.1963,4.3636,0.2748,2.6413,0.2601,4.6784,0.1736,4.5462,2.2370,4.0818,0.5115,0.8000,0.0002,0.8038,0.0001,0.7999,0.0013,0.8036,0.0001,10.2595,0.3783,89.7405,0.3783,7.8527,1.2280,92.1473,1.2280
441,70178.3208,12499.6604,627103.7799,44881.6251,62286.5856,17120.4417,641976.1783,47953.9203,0.0010,0.0001,0.0071,0.0006,0.0011,0.0001,0.0075,0.0006,3.7560,0.2553,4.7267,0.0756,4.6404,0.5082,4.4701,0.3010,2.9942,0.3923,4.7797,0.1533,4.5931,0.9971,4.2866,0.5817,0.7999,0.0002,0.8038,0.0001,0.7997,0.0006,0.8036,0.0004,10.0979,1.9389,89.9021,1.9389,8.8633,2.4721,91.1367,2.4721
443,56857.7191,10301.9691,588170.1772,36469.6373,44207.1188,13170.4545,601636.3547,38802.9660,0.0009,0.0001,0.0067,0.0004,0.0009,0.0001,0.0071,0.0005,3.5357,0.2207,4.6936,0.0491,4.5126,0.4854,4.4275,0.3157,2.6518,0.3213,4.7126,0.0994,4.3476,0.9286,4.2078,0.6007,0.7999,0.0002,0.8038,0.0001,0.8001,0.0006,0.8037,0.0004,8.7948,1.3576,91.2052,1.3576,6.7955,1.7612,93.2045,1.7612
